file,net of investment,net of pension plan investment,net of administrative and investment,discount rate,net of 0.25% of investment,net of inflation. one hundred percent (100%) of the plan’s investment,net of opeb plan investment,investment rate of return,opeb plan,net of plan investment,net of pension investment,context
"MI2020/MI Monitor Charter Township ","","","","['7.0%']","","","","","","","","with the mp-2014 scale, resulting in a base year of 2006 with future mortality improvements assumed each year using scale mp-2016. single discount rate – a single discount rate of 7.0% was used to measure the total opeb liability. the single discount rate was based on the expected rate of return on opeb plan investments of"
"MI2020/MI Mount Clemens ","['7.00 percent']","","","","","","","['7.00']","","","","the total pension liability in the june 30, 2020 actuarial valuation was determined using an inflation assumption of 2.5 percent; assumed salary increases (including inflation) of between 3.5 and 27.1 percent; an investment rate of return (net of investment expenses) of 7.00 percent; and the rp-2014 male (unadjusted) and female (unadjusted) healthy life mortality table, adjusted for mortality improvements to"
"MI2020/MI Mount Clemens ","['7.00 percent']","","","","","","","['7.00']","","","","the total pension liability in the june 30, 2020 actuarial valuation was determined using an inflation assumption of 2.5 percent; assumed salary increases (including inflation) of between 3.5 and 27.1 percent; an investment rate of return (net of investment expenses) of 7.00 percent; and the rp-2014 male (unadjusted) and female (unadjusted) healthy life mortality table, adjusted for mortality improvements to"
"MI2020/MI Mount Clemens ","","","","['7.00 percent']","","","","","","","","measurement. discount rate the discount rate used to measure the total pension liability was 7.00 percent. the projection of cash flows used to determine the discount rate assumed that employee contributions will be made at the"
"MI2020/MI Mount Clemens ","['6.00 percent']","","","","","","","['6.00']","","","","the total opeb liability in the june 30, 2019 actuarial valuation was determined using an inflation assumption of 3.5 percent; assumed salary increases (including inflation) of between 3.5 and 27.10 percent; an investment rate of return (net of investment expenses) of 6.00 percent; a health care cost trend rate of 8.25 percent for 2020, decreasing 0.50 percent per year to an ultimate rate of 3.50 percent"
"MI2020/MI Mount Clemens ","['6.00 percent']","","","","","","","['6.00']","","","","the total opeb liability in the june 30, 2019 actuarial valuation was determined using an inflation assumption of 3.5 percent; assumed salary increases (including inflation) of between 3.5 and 27.10 percent; an investment rate of return (net of investment expenses) of 6.00 percent; a health care cost trend rate of 8.25 percent for 2020, decreasing 0.50 percent per year to an ultimate rate of 3.50 percent"
"MI2020/MI Mount Clemens ","","","","['6.00 percent']","","","","","","","","all periods included in the measurement. discount rate the discount rate used to measure the total opeb liability was 6.00 percent. the projection of cash flows used to determine the discount rate assumed that employee contributions will be made at the current"
"MI2020/MI Mount Clemens ","","","","['6.0 percent']","","","","","","","","note 10 - other postemployment benefit plan (continued) sensitivity of the net opeb liability to changes in the discount rate the following presents the net opeb liability of the city, calculated using the discount rate of 6.0 percent, as well as what the city's net opeb liability would be if it were calculated using a discount rate that is 1"
"MI2020/MI Sandusky ","['7.75%']","","","","","","","['7.75']","","","","following actuarial assumptions, applied to all periods included in the measurement include: 1) inflation 2.5%; 2) salary increases 3.75%; 3) investment rate of return of 7.75%, net of investment expense, including inflation."
"MI2020/MI Sandusky ","['7.75%']","","","","","","","['7.75']","","","","following actuarial assumptions, applied to all periods included in the measurement include: 1) inflation 2.5%; 2) salary increases 3.75%; 3) investment rate of return of 7.75%, net of investment expense, including inflation."
"MI2020/MI Lake Orion ","","","","['7.60%']","","","","","","","","1.41% discount rate the discount rate used to measure the total pension liability is 7.60%. the projection of cash flows used to determine the discount rate assumes that employee contributions will be made at"
"MI2020/MI Lake Orion ","","","","['4.46%']","","","","","","","","6.40% 3.00% discount rate – the discount rate used to measure the total opeb liability was 4.46%. because the covered group is closed to new entrants and the village continues to make benefit"
"MI2020/MI Lake Orion ","","","","['7.09%']","","","","","","","","paid from general operating funds, those benefits ought to be discounted at the municipal bond rate and a lower discount rate would result in a higher liability. the discount rate as of june 30, 2019 was 7.09%. 49"
"MI2020/MI Grand Haven Charter Township ","","","","['1.96%']","","","","","","","","the total opeb liability in the december 31, 2020 annual actuarial valuation was determined using the following actuarial assumptions, applied to all periods included in the measurement: discount rate: 1.96% salary increases: 3.5%"
"MI2020/MI Grand Haven Charter Township ","['3.0%']","","","","","","","['3.0']","","","","discount rate: 1.96% salary increases: 3.5% investment rate of return: 3.0%, net of investment expense, including inflation healthcare cost trend rates: 8.25% graded down .25 per year to 4.5%"
"MI2020/MI Grand Haven Charter Township ","['3.0%']","","","","","","","['3.0']","","","","discount rate: 1.96% salary increases: 3.5% investment rate of return: 3.0%, net of investment expense, including inflation healthcare cost trend rates: 8.25% graded down .25 per year to 4.5%"
"MI2020/MI Grand Haven Charter Township ","","","","['1.96%']","","","","","","","","notes to the financial statements for the year ended december 31, 2020 discount rate. the discount rate used to measure the total opeb liability is 1.96%. the projection of cash flows used to determine the discount rate assumes that the employer will first use assets to pay"
"MI2020/MI Sault Ste Marie ","['7.75 %']","","","","","","","","","","","2.5% percent 3.75% in the long-term 7.75 % net of investment expense including inflation"
"MI2020/MI Sault Ste Marie ","","","","['7.60%']","","","","","","","","1.45% asset class discount rate. the discount rate used to measure the total pension liability is 7.60%. the projection of cash flows used to determine the discount rate assumes that employer and employee contributions well be made at the rates"
"MI2020/MI Sault Ste Marie ","","","","['7.60%']","","","","","","","","employee retirement and benefit systems (continued) sensitivity of the net pension liability to changes in the discount rate. the following presents the net pension liability of the city, calculated using the discount rate of 7.60%, as well as what the city’s net pension liability would be if it were calculated using a discount rate that is 1-percentage-point lower (6.60%) or 1-percentage-point"
"MI2020/MI Sault Ste Marie ","","","","['6.60%']","","","","","","","","sensitivity of the net pension liability to changes in the discount rate. the following presents the net pension liability of the city, calculated using the discount rate of 7.60%, as well as what the city’s net pension liability would be if it were calculated using a discount rate that is 1-percentage-point lower (6.60%) or 1-percentage-point higher (8.60%) than the current rate:"
"MI2020/MI Sault Ste Marie ","","","","['7.00%']","","","","","","","","16,078,435 single discount rate a single discount rate ("sdr") of 7.00% was used to measure the total pension liability. this sdr was based on the expected rate of return on pension plan investments of 7.00%. the projection of cash flows used to determine"
"MI2020/MI Zeeland ","","","","","","","","['5.76']","['5.76%']","","","plan in the state of michigan is 71% funded (mackinac.org/pensions). the city of zeeland’s pension plan is currently 112% funded. this funding status is calculated using the most current mortality tables, an investment rate of return of 5.76%, and the plan is closed to new hires. the city’s opeb plan is fully funded and maintains a funding status of 116%. this plan is also closed to new employees and is using the"
"MI2020/MI Zeeland ","","","","","","","","['5.76']","['5.76%']","","","plan in the state of michigan is 71% funded (mackinac.org/pensions). the city of zeeland’s pension plan is currently 112% funded. this funding status is calculated using the most current mortality tables, an investment rate of return of 5.76%, and the plan is closed to new hires. the city’s opeb plan is fully funded and maintains a funding status of 116%. this plan is also closed to new employees and is using the"
"MI2020/MI Zeeland ","","","","['5.76%']","","","","","","","","expected. the long-term expected rate of return is the sum of the long-term expected real rate of return plus inflation, or 5.76%. discount rate – the discount rate used to measure the total pension liability was 5.76%. the projection of cash flows used to determine the discount rate assumed that plan member contributions will be made at the current"
"MI2020/MI Zeeland ","","","","['5.76%']","","","","","","","","(1,191,751) sensitivity of the net pension liability to changes in the discount rate – the following presents the net pension liability (npl) of the city, calculated using the discount rate of 5.76%, as well as what the city’s net pension liability would be if it were calculated using a discount rate that is 1% lower (4.76%) or 1% higher (6.76%) than the"
"MI2020/MI Zeeland ","","","","['6.76%']","","","","","","","","sensitivity of the net pension liability to changes in the discount rate – the following presents the net pension liability (npl) of the city, calculated using the discount rate of 5.76%, as well as what the city’s net pension liability would be if it were calculated using a discount rate that is 1% lower (4.76%) or 1% higher (6.76%) than the current rate."
"MI2020/MI Zeeland ","","","","['5.76%']","","","","","","","","the sum of each target allocation times its long-term expected rate results in a long-term expected rate of return equal to 3.51%. the expected return with inflation is 5.76%. discount rate – the discount rate used to measure the total opeb liability was 5.76%. the projection of cash flows used to determine the discount rate assumed that city will make no further contributions to the trust. based on those"
"MI2020/MI Zeeland ","","","","['5.76%']","","","","","","","","(313,231) sensitivity of the net opeb asset to changes in the discount rate – the following presents the net opeb asset (noa) of the city, calculated using a discount rate of 5.76%, as well as what the city’s net opeb asset would be if it were calculated using a discount rate that is 1% lower (4.76%) or 1% higher (6.76%) than the current rate."
"MI2020/MI Zeeland ","","","","['6.76%']","","","","","","","","sensitivity of the net opeb asset to changes in the discount rate – the following presents the net opeb asset (noa) of the city, calculated using a discount rate of 5.76%, as well as what the city’s net opeb asset would be if it were calculated using a discount rate that is 1% lower (4.76%) or 1% higher (6.76%) than the current rate. total opeb liablity"
"MI2020/MI Coopersville ","['7.35%']","","","","","","","","","","","2.50% 3.00% in the long term 7.35%, net of investment and administrative expense including inflation although no specific price inflation assumptions are needed for the valuation, the 3.00% long-term wage inflation"
"MI2020/MI Coopersville ","","","","['7.60%']","","","","","","","","7.75% 5.25% discount rate – the discount rate used to measure the total pension liability is 7.60% for 2019. the projection of cash flows used to determine the discount rate assumes that employer and employee contributions will be made at"
"MI2020/MI Coopersville ","","","","['7.60%']","","","","","","","","1,030,352 sensitivity of the net pension liability to changes in the discount rate – the following presents the net pension liability of the employer, calculated using the discount rate of 7.60%, as well as what the employer’s net pension liability would be using a discount rate that is 1 percentage point lower (6.60%) or 1% higher (8.60%) than the"
"MI2020/MI Coopersville ","","","","['8.60%']","","","","","","","","sensitivity of the net pension liability to changes in the discount rate – the following presents the net pension liability of the employer, calculated using the discount rate of 7.60%, as well as what the employer’s net pension liability would be using a discount rate that is 1 percentage point lower (6.60%) or 1% higher (8.60%) than the current rate:"
"MI2020/MI Clinton Charter Township ","","","","['7.60 percent']","","","","","","","","note 13 - defined benefit pension plans (continued) assumption changes during the year, the discount rate was decreased from 8.00 to 7.60 percent. the 7.60 percent discount rate is the single rate of return that, when applied to all projected benefit payments, results in an actuarial"
"MI2020/MI Clinton Charter Township ","['7.00 percent']","","","","","","","['7.00']","","","","rate is the single rate of return that, when applied to all projected benefit payments, results in an actuarial present value of projected benefit payments equal to the total of the actuarial present values. the investment rate of return was increased from 7.00 percent to 7.60, net of investment expenses. the assumption for salary increases was decreased from 3.75 percent to 3.00 percent, including inflation."
"MI2020/MI Clinton Charter Township ","['7.00 percent']","","","","","","","['7.00']","","","","rate is the single rate of return that, when applied to all projected benefit payments, results in an actuarial present value of projected benefit payments equal to the total of the actuarial present values. the investment rate of return was increased from 7.00 percent to 7.60, net of investment expenses. the assumption for salary increases was decreased from 3.75 percent to 3.00 percent, including inflation."
"MI2020/MI Clinton Charter Township ","['7.00 percent']","","","","","","","['7.00']","","","","rate is the single rate of return that, when applied to all projected benefit payments, results in an actuarial present value of projected benefit payments equal to the total of the actuarial present values. the investment rate of return was increased from 7.00 percent to 7.60, net of investment expenses. the assumption for salary increases was decreased from 3.75 percent to 3.00 percent, including inflation."
"MI2020/MI Clinton Charter Township ","","","","['7.06 percent']","","","","","","","","78,966,289 assumption changes during the year, the discount rate was increased from 5.67 percent to 7.06 percent. the 7.06 percent discount rate is the single rate of return that, when applied to all projected benefit payments, results in an"
"MI2020/MI Clinton Charter Township ","","","","['7.60 percent']","","","","","","","","improvement scale mp-2017. discount rate - mers the discount rate used to measure the total pension liability was 7.60 percent. the projection of cash flows used to determine the discount rate assumes that employee contributions will be made at the"
"MI2020/MI Clinton Charter Township ","","","","['7.06 percent']","","","","","","","","between actuarially determined contribution rates and the employee rate. discount rate - fire and police pension system the discount rate used to measure the total pension liability was 7.06 percent at the march 31, 2020 measurement date, which is an increase from the discount rate used at the march 31, 2019 measurement"
"MI2020/MI Clinton Charter Township ","","","","['2.48 percent']","","","","","","","","based on those assumptions, the pension plan's fiduciary net position was not projected to be available to make all projected future benefit payments of current active and inactive employees. therefore, the discount rate incorporates a municipal bond rate, which was 2.48 percent. the source of that bond rate was the fidelity municipal go aa bond index. the long-term expected rate of return was applied to"
"MI2020/MI Clinton Charter Township ","['6.0 percent']","","","","","","","","","","","the total opeb liability in the march 31, 2020 actuarial report was determined using an inflation assumption of 2.5 percent; no assumed salary increases (including inflation); an investment rate of return (net of investment expenses) of 7.5 percent; a health care cost trend rate of 6.0 percent for 2020, decreasing 0.1 percent per year to an ultimate rate of 5.0 percent; and using the rp-2014 mortality tables"
"MI2020/MI Clinton Charter Township ","","","","['7.03 percent']","","","","","","","","measurement. discount rate the discount rate used to measure the total opeb liability was 7.03 percent. the projection of cash flows used to determine the discount rate assumed that employee contributions will be made at the current"
"MI2020/MI Clinton Charter Township ","","","","['7.03 percent']","","","","","","","","81,326,451 assumption changes during the year, the discount rate was decreased from 7.20 percent to 7.03 percent. the 7.03 percent discount rate is the single rate of return that, when applied to all projected benefit payments, results in an"
"MI2020/MI Clinton Charter Township ","","['7.75 percent']","","","","","","","","","","2.5 percent 3.75 percent 7.75 percent - net of pension plan investment expense - including inflation 60 years"
"MI2020/MI Clinton Charter Township ","","['7.25 percent']","","","","","","","","","","2.50 percent 8.0 percent to 4.2 percent, including inflation, effective march 31, 2016 7.25 percent, net of pension plan investment expense, including inflation rp-2000 projected to 2014 effective march 31, 2016"
"MI2020/MI Clinton Charter Township ","","['7.50 percent']","","","","","","","","","","8.00 percent the first year - decreasing 0.50 percent per year for seven years to 5.00 percent n/a 7.50 percent - net of pension plan investment expense rp-2000 projected to 2014"
"MI2020/MI Carson City ","['6.38%']","","","","","","","['6.38']","","","","inflation: 0% salary increases: 3.5% in the long-term investment rate of return: 6.38%, net of investment expense, including inflation mortality rates used were based on the public 2010 general employee mp-2018 no pre-retirement"
"MI2020/MI Carson City ","['6.38%']","","","","","","","['6.38']","","","","inflation: 0% salary increases: 3.5% in the long-term investment rate of return: 6.38%, net of investment expense, including inflation mortality rates used were based on the public 2010 general employee mp-2018 no pre-retirement"
"MI2020/MI Carson City ","","","","['6.00%']","","","","","","","","3.0% 2.50% discount rate. the discount rate used to measure the total pension liability is 6.00%. the projection of cash flows used to determine the discount rate assumes that employer and employee contributions will"
"MI2020/MI Oak Park ","","","","['3.0%']","","","","","","","","2006 total data set, headcount‐weighted, with mp‐2017 (set‐forward 10 years for disability); trend rates updated from pre‐65; 8.0% graded down to 5% over six years and 5.0% per annum for medicare costs; timing of claims payments changed from middle of year to beginning of year; and discount rate updated from 3.0%. 19"
"MI2020/MI Oak Park ","","['6.5 percent']","","","","","","","","","","2.5 percent varies 6.5 percent, net of pension plan investment expense, including inflation"
"MI2020/MI Oak Park ","","","","['6.5%']","","","","","","","","improvement factors. the mortality tables were changed to the society of actuaries tables; discount rate decreased from 7.0% to 6.5%. the actuarial assumptions used in the june 30, 2019 valuations were based on the results of an actuarial"
"MI2020/MI Oak Park ","","","","['6.5 percent']","","","","","","","","to adhere to the given targets as financially practicable and move toward target allocations in a prudent manner consistent with its fiduciary duty. discount rate. a single discount rate of 6.5 percent for ers and ps was used to measure the respective total pension liabilities. the discount rate is equal to the long‐term expected rate of return. the projection of cash"
"MI2020/MI Oak Park ","","","","['6.5 percent']","","","","","","","","40,655,662 sensitivity of the net pension liability to changes in the discount rate. the following presents the net pension liability of the city, calculated using the discount rate of 6.5 percent, as well as what the city’s net pension liability would be if it were calculated using a discount rate that is 1 percentage point lower (5.5 percent) or 1 percentage"
"MI2020/MI Oak Park ","","","","['5.5 percent']","","","","","","","","sensitivity of the net pension liability to changes in the discount rate. the following presents the net pension liability of the city, calculated using the discount rate of 6.5 percent, as well as what the city’s net pension liability would be if it were calculated using a discount rate that is 1 percentage point lower (5.5 percent) or 1 percentage point higher (7.5 percent) than the current rate:"
"MI2020/MI Oak Park ","","","","['3.97 percent']","","","","","","","","to adhere to the given targets as financially practicable and move toward target allocations in a prudent manner consistent with its fiduciary duty. discount rate. a single discount rate of 3.27 percent for general and court and 3.97 percent for public safety was used to measure the respective total other postemployment benefit liabilities. the assets are not projected to be"
"MI2020/MI Oak Park ","","","","['3.27 percent']","","","","","","","","notes to financial statements sensitivity of the net opeb liability to changes in the discount rate. the following presents the net opeb liability of the city, calculated using the discount rate of 3.27 percent, as well as what the city’s net opeb liability would be if it were calculated using a discount rate that is 1 percentage point lower (2.27 percent) or 1 percentage point"
"MI2020/MI Oak Park ","","","","['2.27 percent']","","","","","","","","sensitivity of the net opeb liability to changes in the discount rate. the following presents the net opeb liability of the city, calculated using the discount rate of 3.27 percent, as well as what the city’s net opeb liability would be if it were calculated using a discount rate that is 1 percentage point lower (2.27 percent) or 1 percentage point higher (4.27 percent) than the current rate:"
"MI2020/MI Oak Park ","","","","['6.5%']","","","","","","","","the june 30, 2020 changes in assumptions are due to the following: • the mortality tables were changed to the society of actuaries tables for public employees. • the discount rate decreased from 7.0% to 6.5%. the june 30, 2019 changes in assumptions are due to the following:"
"MI2020/MI Oak Park ","","","","['7.00%']","","","","","","","","• the liability load for “roll‐in amounts” decreased from 9.00% to 4.00%. • th adjusted dates of hire were added to the data to reflect the adjusted service accurately. • the discount rate was decreased from 8.00% to 7.00%. the june 30, 2017 changes in assumptions are due to the following:"
"MI2020/MI Oak Park ","","","","['6.77%']","","","","","","","","the june 30, 2017 changes in assumptions are due to the following: • for the calculation of year end liabilities, the tax‐exempt municipal bond rate increased from 3.18% to 3.58%. • the discount rate increased from 6.07% to 6.77%. • the long‐term inflation assumption has decreased from 3.0% to 2.5% as of july 1, 2016. this change applies"
"MI2020/MI Oak Park ","","","","['6.07%']","","","","","","","","the june 30, 2016 changes in assumptions are due to the following: • for the calculation of year end liabilities, the tax‐exempt municipal bond rate decreased from 3.80% to 3.18%. • the discount rate decreased from 7.38% to 6.07%. the june 30, 2015 changes in assumptions are due to the following:"
"MI2020/MI Oak Park ","","","","['7.38%']","","","","","","","","• for the calculation of year end liabilities, the tax‐exempt municipal bond rate decreased from 4.29% to 3.80%. • the long‐term rate of return on assets increased from 6.54% to 8.00%. • the discount rate increased from 5.40% to 7.38%. 100"
"MI2020/MI Oak Park ","","","","['6.5%']","","","","","","","","the june 30, 2020 changes in assumptions are due to the following: • the mortality tables were changed to the society of actuaries tables for public employees. • the discount rate decreased from 7.0% to 6.5%. the june 30, 2019 changes in assumptions are due to the following:"
"MI2020/MI Oak Park ","","","","['7.00%']","","","","","","","","• the liability load for subsidized service purchases was removed and replaced with actual adjusted service dates. • the discount rate was changed from 7.52% to 7.00% the june 30, 2017 changes in assumptions are due to the following:"
"MI2020/MI Oak Park ","","","","['7.52%']","","","","","","","","the june 30, 2017 changes in assumptions are due to the following: • for the calculation of year end liabilities, the tax‐exempt municipal bond rate increased from 3.18% to 3.58%. • the discount rate increased from 7.27% to 7.52%. • the long‐term inflation assumption has decreased from 3.0% to 2.5% as of july 1, 2016. this change applies"
"MI2020/MI Oak Park ","","","","['7.27%']","","","","","","","","the june 30, 2016 changes in assumptions are due to the following: • for the calculation of year end liabilities, the tax‐exempt municipal bond rate decreased from 3.80% to 3.18%. • the discount rate decreased from 7.83% to 7.27%. the june 30, 2015 changes in assumptions are due to the following:"
"MI2020/MI Oak Park ","","['6.5 percent']","","","","","","","","","","salary increases investment rate of return 6.5 percent net of pension plan investment expense, including inflation pub‐2010 public retirement plans mortality tables for with mp‐2019;"
"MI2020/MI Oak Park ","","","","['3.0%']","","","","","","","","forward 10 years for disability) • trend rates updated from pre‐65; 8.0% graded down to 5% over six years, 5.0% per annum for medicare costs • discount rate updated from 3.0% the june 30, 2019 changes in assumptions are due to the following:"
"MI2020/MI Oak Park ","","","","['3.0%']","","","","","","","","• discount rate updated from 3.0% the june 30, 2019 changes in assumptions are due to the following: • discount rate lowered from 3.51% to 3.0%. the june 30, 2018 changes in assumptions are due to the following:"
"MI2020/MI Oak Park ","","","","['3.0%']","","","","","","","","the june 30, 2018 changes in assumptions are due to the following: • first valuation performed by watkins ross. • the discount rate was lowered from 3.1% to 3.0%. • the trend rates changed from 6.0% graded down to 4.0% to 8.0% graded down to 5.0% for pre‐65 claims,"
"MI2020/MI Oak Park ","","","","['3.1%']","","","","","","","","2014 adjusted to 2006 total data set with mp‐2017 (set‐forward 10 years for disability). the june 30, 2017 changes in assumptions are due to the following: • discount rate lowered from 4.5% to 3.1%. 103"
"MI2020/MI Oak Park ","","","","['3.0%']","","","","","","","","• trend rates updated from pre‐65; 8.0% graded down to 5% over six years, 5.0% per annum for medicare costs • timing of claims payments changed from middle of year to beginning of year • discount rate updated from 3.0% the june 30, 2018 changes in assumptions are due to the following:"
"MI2020/MI Oak Park ","","","","['3.0%']","","","","","","","","the june 30, 2018 changes in assumptions are due to the following: • first valuation performed by watkins ross. • the discount rate was lowered from 3.1% to 3.0%. • the trend rates changed from 6.0% graded down to 4.0% to 8.0% graded down to 5.0% for pre‐65 claims,"
"MI2020/MI Oak Park ","","","","['3.1%']","","","","","","","","2014 adjusted to 2006 total data set with mp‐2017 (set‐forward 10 years for disability). the june 30, 2017 changes in assumptions are due to the following: • discount rate lowered from 4.5% to 3.1%. notes to schedule of changes in the city's net other postemployment benefit liability and related ratios:"
"MI2020/MI Oak Park ","","","","['3.0%']","","","","","","","","forward 10 years for disability) • trend rates updated from pre‐65; 8.0% graded down to 5% over six years, 5.0% per annum for medicare costs • discount rate updated from 3.0% the june 30, 2019 changes in assumptions are due to the following:"
"MI2020/MI Oak Park ","","","","['3.0%']","","","","","","","","• discount rate updated from 3.0% the june 30, 2019 changes in assumptions are due to the following: • discount rate lowered from 3.51% to 3.0%. the june 30, 2018 changes in assumptions are due to the following:"
"MI2020/MI Oak Park ","","","","['3.0%']","","","","","","","","the june 30, 2018 changes in assumptions are due to the following: • first valuation performed by watkins ross. • the discount rate was lowered from 3.1% to 3.0%. • the trend rates changed from 6.0% graded down to 4.0% to 8.0% graded down to 5.0% for pre‐65 claims,"
"MI2020/MI Woodhaven ","['7.00 percent']","","","","","","","['7.00']","","","","the total pension liability in the june 30, 2019 actuarial valuation was determined using an inflation assumption of 2.50 percent, assumed salary increases (including inflation of 3.5 percent) of 4.5 to 6.0 percent, an investment rate of return (net of investment expenses) of 7.00 percent, and the pub-2010 mortality tables."
"MI2020/MI Woodhaven ","['7.00 percent']","","","","","","","['7.00']","","","","the total pension liability in the june 30, 2019 actuarial valuation was determined using an inflation assumption of 2.50 percent, assumed salary increases (including inflation of 3.5 percent) of 4.5 to 6.0 percent, an investment rate of return (net of investment expenses) of 7.00 percent, and the pub-2010 mortality tables."
"MI2020/MI Woodhaven ","","","","['7.0 percent']","","","","","","","","mortality tables. discount rate the discount rate used to measure the total pension liability was 7.0 percent. the projection of cash flows used to determine the discount rate assumed that employee contributions will be made at the current"
"MI2020/MI Woodhaven ","","","","['7.0 percent']","","","","","","","","future mortality improvements projected using a fully generational improvement scale. discount rate the discount rate used to measure the total opeb liability was 7.0 percent and is based off of the assumption that the benefits to be paid each year will be funded entirely from pay-as-you-go contributions"
"MI2020/MI Woodhaven ","","","","['7.0 percent']","","","","","","","","note 10 - other postemployment benefit plan (continued) sensitivity of the net opeb liability to changes in the discount rate the following presents the net opeb liability of the city, calculated using the discount rate of 7.0 percent, as well as what the city's net opeb liability would be if it were calculated using a discount rate that is 1"
"MI2020/MI Woodhaven ","['7.25 percent']","","","","","","","","","","","2.75 percent 3.50 to 6.00 percent including inflation 7.25 percent (net of investment expense) experience-based table of rates that are specific to the type of eligibility condition. last updated for the 2007 valuation pursuant to"
"MI2020/MI Woodhaven ","","","","","","","['6.00%']","","['6.00%']","","","initial trend of 8.25% gradually decreasing to an ultimate rate of 3.50% in year 10 3.50% to 6.00% 6.00%, net of opeb plan investment experience experience-based table of rates that are specific to the type of eligibility condition"
"MI2020/MI Woodhaven ","","","","","","","['6.00%']","","['6.00%']","","","initial trend of 8.25% gradually decreasing to an ultimate rate of 3.50% in year 10 3.50% to 6.00% 6.00%, net of opeb plan investment experience experience-based table of rates that are specific to the type of eligibility condition"
"MI2020/MI Woodhaven ","","","","['7.00 percent']","","","","","","","","opeb information changes in assumptions 2020: the discount rate increased from 3.13 to 7.00 percent. in addition, the mortality rates were updated to be based on the pub-2010 tables."
"MI2020/MI Woodhaven ","","","","['3.13 percent']","","","","","","","","2020: the discount rate increased from 3.13 to 7.00 percent. in addition, the mortality rates were updated to be based on the pub-2010 tables. 2019: the discount rate decreased from 3.62 to 3.13 percent. 2018: the discount rate increased from 3.56 to 3.62 percent."
"MI2020/MI Woodhaven ","","","","['3.62 percent']","","","","","","","","based on the pub-2010 tables. 2019: the discount rate decreased from 3.62 to 3.13 percent. 2018: the discount rate increased from 3.56 to 3.62 percent. 55"
"MI2020/MI Ontonagon County ","['7.35%']","","","","","","","['7.35']","","","","inflation: 2.5% salary increases: 2.00% in the long-term investment rate of return: 7.35%, net of investment expense, including inflation although no specific price inflation assumptions are needed for the valuation, the 2.5%"
"MI2020/MI Ontonagon County ","['7.35%']","","","","","","","['7.35']","","","","inflation: 2.5% salary increases: 2.00% in the long-term investment rate of return: 7.35%, net of investment expense, including inflation although no specific price inflation assumptions are needed for the valuation, the 2.5%"
"MI2020/MI Ontonagon County ","","","","['7.6%']","","","","","","","","6.56% discount rate the discount rate used to measure the total pension liability is 7.6% for 2019. the projection of cash flows used to determine the discount rate assumes that employer and employee"
"MI2020/MI Ontonagon County ","['7.35%']","","","","","","","['2.5']","","","","salary increases: 2% in the long-term investment rate of return investment rate of return: 7.35%, net of investment and adminstrative expense. although no specific price inflation assumptions are needed for the valuation, the 2.5 % longterm wage inflation assumpition would be consistent with a price inflation of 3%-4% retirement age"
"MI2020/MI Ontonagon County ","['7.35%']","","","","","","","['2.5']","","","","salary increases: 2% in the long-term investment rate of return investment rate of return: 7.35%, net of investment and adminstrative expense. although no specific price inflation assumptions are needed for the valuation, the 2.5 % longterm wage inflation assumpition would be consistent with a price inflation of 3%-4% retirement age"
"MI2020/MI Ontonagon County ","['7.35%']","","","","","","","['2.5']","","","","salary increases: 2% in the long-term investment rate of return investment rate of return: 7.35%, net of investment and adminstrative expense. although no specific price inflation assumptions are needed for the valuation, the 2.5 % longterm wage inflation assumpition would be consistent with a price inflation of 3%-4% retirement age"
"MI2020/MI Ontonagon County ","['7.35%']","","","","","","","['7.35']","","","","salary increases: 2% in the long-term investment rate of return investment rate of return: 7.35%, net of investment and adminstrative expense. retirement age"
"MI2020/MI Ontonagon County ","['7.35%']","","","","","","","['7.35']","","","","salary increases: 2% in the long-term investment rate of return investment rate of return: 7.35%, net of investment and adminstrative expense. retirement age"
"MI2020/MI Sanilac County ","['7.25%']","","","","","","","['7.25']","","","","actuarial assumptions, applied to all periods included in the measurement include: 1) inflation 2.75%; 2) salary increases 3.5% in the long-term; 3) investment rate of return of 7.25%, net of investment expense, including inflation of 2.75%."
"MI2020/MI Sanilac County ","['7.25%']","","","","","","","['7.25']","","","","actuarial assumptions, applied to all periods included in the measurement include: 1) inflation 2.75%; 2) salary increases 3.5% in the long-term; 3) investment rate of return of 7.25%, net of investment expense, including inflation of 2.75%."
"MI2020/MI Sanilac County ","","","","['7.25%']","","","","","","","","sensitivity of the net pension liability (asset) to changes in the discount rate – the following presents the net pension liability (asset) of the employer, calculated using the discount rate of 7.25%, as well as what the employer’s net pension liability (asset) would be using a discount"
"MI2020/MI Sterling Heights ","","","","['7.25 percent']","","","","","","","","percent, as well as what the city's net pension liability would be if it were calculated using a discount rate that is 1 percentage point lower or 1 percentage point higher than the current rate. the following also presents the net pension liability of pfrs, calculated using the discount rate of 7.25 percent, as well as what the city's net pension liability would be if it were calculated using a discount rate that is 1 percentage"
"MI2020/MI Sterling Heights ","","","","","","","","","","","","assumption changes with respect to gers, there were no significant assumption changes for the year ended june 30, 2020. with respect to pfrs, both the discount rate and investment rate of return increased from 7.02 to 7.25 percent. the mortality table utilized in the valuation was updated from the rp-2014 with the generational"
